name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Music of the Spheres,0.8864,2021-10-15,Music Of The Spheres,False,0.62,0.887,0.326,0.322,0.841,0.116,-20.192,0.0337,89.657,4/4,0.0651
Higher Power,3.4446833333333333,2021-10-15,Music Of The Spheres,False,0.71,0.00643,0.507,0.832,1.6e-05,0.229,-5.931,0.0425,177.894,4/4,0.485
Humankind,4.4450666666666665,2021-10-15,Music Of The Spheres,False,0.68,0.000172,0.575,0.838,0.000103,0.458,-6.498,0.0454,135.006,4/4,0.215
Alien Choir,0.8838833333333334,2021-10-15,Music Of The Spheres,False,0.59,0.805,0.0859,0.289,0.99,0.141,-17.24,0.0359,166.784,4/4,0.038
Let Somebody Go,4.026583333333333,2021-10-15,Music Of The Spheres,False,0.76,0.193,0.592,0.342,0.00245,0.11,-8.93,0.0339,130.953,4/4,0.155
Human Heart,3.1494333333333335,2021-10-15,Music Of The Spheres,False,0.65,0.97,0.348,0.0491,0.000186,0.0918,-15.431,0.0404,136.68,1/4,0.232
People of The Pride,3.6210999999999998,2021-10-15,Music Of The Spheres,True,0.66,0.00581,0.432,0.613,0.0151,0.312,-6.785,0.0349,136.362,4/4,0.0911
Biutyful,3.206566666666667,2021-10-15,Music Of The Spheres,False,0.66,0.0168,0.614,0.68,0.00056,0.118,-7.84,0.0425,153.937,4/4,0.347
Music of the Spheres II,0.3564666666666667,2021-10-15,Music Of The Spheres,False,0.19,0.969,0.115,0.907,0.981,0.98,-20.358,0.223,189.885,3/4,0.0185
My Universe,3.769966666666667,2021-10-15,Music Of The Spheres,False,0.84,0.0114,0.573,0.711,0.0,0.328,-6.268,0.0406,105.006,4/4,0.47
Infinity Sign,3.7689999999999997,2021-10-15,Music Of The Spheres,False,0.62,0.00941,0.576,0.896,0.955,0.153,-8.994,0.0412,135.01,4/4,0.412
Coloratura,10.284283333333333,2021-10-15,Music Of The Spheres,False,0.61,0.629,0.285,0.265,0.179,0.066,-10.836,0.0288,134.055,4/4,0.0699
Sunrise,2.5182166666666665,2019-11-22,Everyday Life,False,0.27,0.939,0.146,0.216,0.54,0.0773,-12.302,0.0399,78.045,4/4,0.0341
Church,3.8335500000000002,2019-11-22,Everyday Life,False,0.17,0.00865,0.449,0.736,0.145,0.147,-6.98,0.0368,123.973,4/4,0.133
Trouble In Town,4.648433333333333,2019-11-22,Everyday Life,True,0.15,0.427,0.595,0.315,0.648,0.111,-11.456,0.0296,96.018,4/4,0.336
BrokEn,2.503333333333333,2019-11-22,Everyday Life,False,0.15,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.151,4/4,0.521
Daddy,4.9719999999999995,2019-11-22,Everyday Life,False,0.28,0.931,0.633,0.18,0.801,0.513,-19.54,0.034,116.981,4/4,0.2
WOTW / POTP,1.2822166666666668,2019-11-22,Everyday Life,False,0.14,0.935,0.692,0.294,0.929,0.116,-15.483,0.248,133.686,4/4,0.802
Arabesque,5.671333333333333,2019-11-22,Everyday Life,True,0.26,0.000114,0.401,0.834,0.849,0.373,-7.727,0.055,172.009,4/4,0.163
When I Need A Friend,2.5833333333333335,2019-11-22,Everyday Life,False,0.14,0.921,0.141,0.28,0.368,0.135,-18.225,0.0618,64.501,4/4,0.434
Guns,1.918,2019-11-22,Everyday Life,True,0.12,0.775,0.475,0.565,0.188,0.138,-8.336,0.0326,85.25,3/4,0.708
Orphans,3.2922166666666666,2019-11-22,Everyday Life,False,0.32,0.0258,0.503,0.808,0.00149,0.557,-5.051,0.0451,107.973,4/4,0.282
Èkó,2.6311000000000004,2019-11-22,Everyday Life,False,0.14,0.722,0.341,0.365,0.00194,0.184,-13.871,0.0322,182.995,3/4,0.0486
Cry Cry Cry,2.788,2019-11-22,Everyday Life,False,0.22,0.89,0.491,0.262,0.288,0.207,-10.458,0.0572,204.52,3/4,0.338
Old Friends,2.4491,2019-11-22,Everyday Life,False,0.27,0.943,0.476,0.18,0.235,0.138,-17.499,0.0346,134.025,5/4,0.236
Bani Adam,3.2444333333333333,2019-11-22,Everyday Life,False,0.14,0.758,0.393,0.301,0.764,0.161,-20.428,0.0497,140.438,3/4,0.0384
Champion Of The World,4.292433333333333,2019-11-22,Everyday Life,False,0.13,0.00276,0.503,0.594,0.0102,0.109,-7.095,0.0263,108.9,4/4,0.168
Everyday Life,4.308883333333333,2019-11-22,Everyday Life,False,0.29,0.775,0.512,0.452,0.0818,0.065,-8.991,0.0292,124.103,4/4,0.235
Flags,3.6082166666666664,2019-11-22,Everyday Life,False,0.14,0.00107,0.55,0.796,1.18e-05,0.123,-7.262,0.0378,89.876,4/4,0.51
Trouble in Town,4.648433333333333,2019-11-22,Everyday Life,False,0.0,0.432,0.603,0.308,0.732,0.111,-11.442,0.0291,96.032,4/4,0.342
A Head Full of Dreams,3.72955,2015-12-04,A Head Full of Dreams,False,0.7,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4/4,0.0772
Birds,3.8182166666666664,2015-12-04,A Head Full of Dreams,False,0.66,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4/4,0.147
Hymn for the Weekend,4.304433333333334,2015-12-04,A Head Full of Dreams,False,0.86,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4/4,0.412
Everglow,4.71155,2015-12-04,A Head Full of Dreams,False,0.71,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4/4,0.136
Adventure of a Lifetime,4.396433333333333,2015-12-04,A Head Full of Dreams,False,0.8,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4/4,0.53
Fun (feat. Tove Lo),4.4588833333333335,2015-12-04,A Head Full of Dreams,False,0.59,0.271,0.485,0.735,7.49e-06,0.0853,-5.125,0.0354,134.021,4/4,0.216
